ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_IDs,Sense_IDs,alt_translation1,original_script
XV000472,dar,Dam bikːulda qʼar dertːij.,,,I want to mow the grass.,,,adb6ed4a0c6b3e5ca532bf2e38d8d72d,SN000647,Я хочу траву скосить,Дам биккулда кьар дерттий.
XV000473,dar,"Kergutːe raχle hel kursːile, il berxːur cab.",,,"If you sit on this chair, it is painted. (i.e. so don't sit on it).",,,51c766d33a2fdb2cb7592e564d302bb5,SN000648 ; SN004177,"Если сядешь на этот стул, он покрашен.","Кергутте рахле гьел курссиле, ил берхьхьур цаб!"
XV000474,dar,Sːa markalguw it werχːib.,,,Yesterday in the rain he got cold.,,,7f8c16fd9e6b3b8ae0bb074deaeafc6a,SN000649,Вчера под дождем он зармёрз.,Сса маркалгув ит верххиб.
XV000475,dar,Dila abal pːala derzib.,,,My mother spun wool.,,,0471c31540e07b5a96e5d70d46732a7f,SN000650,Мая мама шерсть спряла.,Дила абал ппала дерзиб.
XV000476,dar,Lidil ʁuˁbe daˁħuˁnne derʔib.,,,All potatoes got wet and rot.,,,20000941c7028fb2f23b8cd59fecb437,SN000652,Все картошки намочились и сгнили.,Лидил гъёбе дяхIённе деръиб.The neighbor’s kid bored me.
XV000477,dar,Zunrala besqa dam čibbetʼib cab.,,,The neighbor’s kid bored me.,,,2bda787b9224aefc3c7d1521d0d2d4ec,SN000654 ; SN001322,Соседний козленок мне надоел.,Зунрала бесхъа дам чиббетIиб цаб.
XV000478,dar,Du warcːurda bet-sat wašij.,,,I'm tired from going back and forth.,,,743665f59acab599ebfd6a72b47e4e3a,SN000656,Я устал туда-сюда ходить.,Ду варццурда бет-сат ваший.
XV000479,dar,Betʼala aqij du waxud šatːir wacʼacːe.,,,I go into the forest in order to fight my boredom.,,,de6cc685410ebad66949617267d09bf8,SN000657,Чтобы скуку прогнать я хожу гулять в лес.,БетIала ахъий ду вахьуд шшаттир вацIацце.
XV000480,dar,Betʼalaqala iqulda nušːal.,,,We escape our sorrows.,,,229454244ed2dc425fc07a993463dd41,SN000658,Мы разгоняем таску.,БетIалахъала ихъулда нушшал.
XV000481,dar,čula betʼalaqala birqʼul cab ištːal,,,They spend their time and escape their sorrows.,,,718968698528737597e8e18edbea5a54,SN000658,свою тоску разгоняют они.,Чула бетIалахъала биркьул ишттал
XV000482,dar,Sanijatlij disar betʼaqib car abal,,,Mother made Saniyat miss me.,,,43d61a6ac646deaa7d062f480014a098,SN000659,Мама заставила Саният соскучиться по мне.,Саниятлий дисар бетIахъиб цар абал
XV000483,dar,Heštːub betʼibdexlij duburtacːe nušːa guragurda.,,,Because it is boring here we moved to the mountains.,,,0620c98681e8b871a083f361bb99c98f,SN000661 ; SN001807,Из-за скуки здесь мы переехали в горы.,Гьешттуб бетIибдехьлий дубуртацце нушша гурагурда
XV000484,dar,U dam wetʼiblede.,,,You bored me.,,,,SN000662,Ты мне надоел.,У дам ветIибледе.
XV000485,dar,Dam betʼib cab asar.,,,I miss you.,,,4961fed065e72da97c1c6357e3682067,SN000663,Я соскучился по тебе.,Дам бетIиб цаб асар.
XV000486,dar,"Betʼu diqːa, kaš barqʼij.",,,"Give me the flour, I want to make porridge.",,,2b12c5cfd48b91ef64f51d10899a4c49,SN000664,Дай муки сделать кашу.,"БетIу дикъа, каш баркьий."
XV000487,dar,Dam beža hitːi dičib cad.,,,I caught a cold.,,,345fa2aab563a408c0e166e5868cfa45,SN000667,Я простудился.,Дам бежа гьитти дичиб цад.
XV000488,dar,du bežalla iχubleda.,,,I caught a cold.,,,88e0b662704d57348c268b982af818a9,SN000667,Я простудился.,Ду бежалла ихубледа.
XV000489,dar,hež admi wežgurce caw,,,This man is nervous.,,,,SN000668,Этот человек нервный.,гьеж адми вежгурце цав
XV000490,dar,Dila qːuˁnqːler beʔe kadaxu.,,,From my nose blood drops down.,,,1485f681771f141a7f6e63bffd4e3c12,SN000669,Из моего носа иногда тычет кровь.,Дила къёнкълер беэ кадахьу.
XV000491,dar,Beʔela tum kabuqab ala. Ja rapːi ja Allah.,,,"May the blood of your arteries flow out, oh God, oh Allah.",,,a2aa4e97df26cb3d265ed54be1eb21d8,SN000670,"Чтоб твоих вен кровь потекла! О господь, о боже!",Беэла тум кабухъаб ала. Я раппи я Аллагь.
XV000492,dar,Kːurtːa cinna mergʷle biargul čibažibda.,,,I saw how the fox enters its hole.,,,de7b2ddd67f5867a6b63d670dcab3805,SN000672,"Я видел, как лиса входит в свою норку.",ккуртта цинна мергвле биаргул чибажибда.
XV000493,dar,ʡaˁrʡaˁj bežij bikːulde cinna durqaˁ.,,,The chicken wanted to go into its stable.,,,5c3c8141f55465d49f0bec78da734b3c,SN000675,Курица хотела зайти свой сарай.,гIяргIяй бежий биккулде цинна дурхъя.
XV000494,dar,"Bilʡuˁtʼe tukenne biagur, arc diʡuˁn.",,,The thieves went into the shop and stole money.,,,a82b3f0be31ccd16d96bab46ca030158,SN000675,Воры в магазин зашли и украли деньги.,"БилгIётIе тукенне биагурре, арц дигIён."
XV000495,dar,begurce,,,"hollow, sunken",,,,SN000675,впалый,бегурце
XV000496,dar,Istikanned did hin amzute cad.,,,The water in the glass is clean.,,,14037aed877231fe8faa8507bcc9bfd4,SN000676,Вода в стакане чистая.,Истиканнед дид гьин амзуте цад.
XV000497,dar,Du ala sunduqʼlew wiw lewda.,,,I am inside your box.,,,852b98a6f21832b8141529f3bdbc8b4c,SN000676 ; SN004473,Я у тебя в сундуке нахожусь.,Ду ала сундукьлев вив левда.
XV000498,dar,Durħnacːer rir ca rursːi car.,,,There is a girl among the boys.,,,e4884ad111a7ce616c98af28636ef879,SN000677,Среди мальчиков одна девочка.,ДурхIнаццер рир ца рурсси цар.
XV000499,dar,Kːaˁta qili bibašij bikːul cab. Uncːa ač barqʼa!,,,The cat wants to come into the house. Open the door!,,,10b8a689616fee3d8aec88f29b3e5069,SN000680,Кот хочет войти в дом. Открой двери!,Ккята хъили бибаший биккул цаб. Унцца ач баркьа!
XV000500,dar,Wimawaxutːa! / Wimaaxutːa!,,,Don't come in! (said to a man),,,08b5098f4a1ad37463f3cdae43ebde79,SN000680,Не заходи!,Вимавахьутта! / Вимаахьутта!
XV000501,dar,Rirašib.,,,She entered.,,,462df704fc3ed110d57e8bdf90b10d43,SN000680,Она заходила.,Рирашиб.
XV000502,dar,Dila tʼup motʼorricːe bibičib.,,,My finger got into the motor.,,,234923d3dfe45f6bc5dc0dc9f6aa96b7,SN000686,Мой палец попал в мотор.,Дила тIуп мотIоррицце бибичиб.
XV000503,dar,Dul uruχ warqʼibqel it wibšːib.,,,"When I scared him, he ran away.",,,5190bae8bb5deb95e94cb8eff72fa226,SN000692,"Когда я его напугал, он убежал.",Дул урух варкьибхъел ит вибшшиб.
XV000504,dar,Dam bikːulde kluble wiʡuˁqʼij.,,,I wanted to enter the club.,,,e53c139fbbed0fb34dc634b7ce041895,SN000696,Я хотел в клуб войти.,Дам биккулде клубле вигIёкьий.
XV000505,dar,čakʷa ʡaˁmilcːe bibuˁqʼij abiχub.,,,The bird could not enter the hole.,,,39fd0bcbbbc1ce92616ca15af14a8637,SN000696,Птичка не смогла в дырку зайти.,Чаква гIямилцце бибёкьий абихуб.
XV000506,dar,Dul bibχːuˁlda hincballa kːalkːi.,,,I am shaking the apple tree.,,,,SN000699,Я стряхиваю яблочное дерево.,Дул бибххёлда гьинцбалла ккалкки.
XV000507,dar,Dam bikːulda mašin bicij.,,,I want to sell a car.,,,9fc2f117898f9f4217ffce6268e19586,SN000700,Я хочу машину продать.,Дам биккулда машин биций.
XV000508,dar,Dam biclale uqʼij bikːulda.,,,I want to go to the toilet.,,,8ee6574b17e8eae5e7acabfbdbf97257,SN000701,Я хочу идти на туалет.,Дам бицлале укьий биккулда.
XV000509,dar,Hanala šikalad bicːice akːu.,,,Now the chocolate is not tasty.,,,d6d366ade545b51129c26c0d14bcee3d,SN000702,Сейчас шоколад не вкусный.,Гьанала шикалад биццице акку.
XV000510,dar,bicːice tʼem,,,aromatic smell,,,794528f8ec80b6533b5414b3eb9a1d17,SN000703,приятный запах,биццице тIем
XV000511,dar,Istikan bicʼaqa nejgli!,,,Fill the glass with milk!,,,f94dfab993972560ddee1a3f0e4190a7,SN000704,Стакан набери полный молоком!,Истикан бицIахъа нейгли!
XV000512,dar,Sanžijatli metʼi bicʼaqul cab.,,,Sanzhiyat is melting butter.,,,29e27f003623c9d0080ddc653a37bb77,SN000705,Санжият растапливает масло.,Санжиятли метIи бицIахъул цаб.
XV000513,dar,Mecːalra qːamalra bicʼiblede šːi.,,,Nettle and hemp filled the village.,,,d0cc7d6cdbe704087e62b01f195adfd8,SN000706 ; SN003230 ; SN003820,Крапивой и коноплёй полное было селение.,Меццалра къамалра бицIибледе шши.
XV000514,dar,Dul istikan bicʼibleda hinni.,,,I filled the glass with water.,,,88a876d8218147e538719898c1ca2ee9,SN000706,Я набрал стакан водой.,Дул истикан бицIибледа гьинни.
XV000515,dar,Kːuruškːa bicʼiblede.,,,The jar was full.,,,9aa023658ea061a8d4a3ab819e17e370,SN000706,Кружка была полной.,Ккурушкка бицIибледе.
XV000516,dar,Hanišar duˁħi bicʼu.,,,In spring the snow thaws.,,,ebbbf50a9317eaa22e220f4f9b2aaab2,SN000707,Весной снег таит.,Гьанишар дёхIи бицIу.
XV000517,dar,Isaqʼadi dam ʡaˁči bičaqib.,,,Isakadi found work for me. (lit. made happen),,,83852f6ee65578305350f1ee9b3c6fac,SN000708,Исакади мне работу нашел.,Исакьадил дам гIячи бичахъиб.
XV000518,dar,Dul qʼʷaˁl qʼari bikulda.,,,I pastured the cow.,,,c650c71c988a9a4bfa140d7725ba7bfe,SN000708,Я пас корову.,Дул кьвял кьари бикулда
XV000519,dar,Dam bičib wahi juldašːe.,,,I got bad friends.,,,0aed9a0c5a4336463d922ef575416de5,SN000709,Мне попались плохие друзья.,Дам бичиб вагьи юлдашше.
XV000520,dar,Ižal dam arc dičib.,,,Today I received money.,,,1812a54db1db8cb31dfa5be62b27d262,SN000710,Сегодня я получил деньги.,Ижал дам арц дичиб.
XV000521,dar,Dul har zamana mašin halakle bičid.,,,I always drive fast.,,,299496b5e52fc297a2b21f5faacec080,SN000711,Я всегда машину вожу быстро.,Дул гьар замана машин гьалакле бичид.
XV000522,dar,Dul qʼʷaˁl qʼari bikulda.,,,I am leading the cow to the pasture.,,,,SN000711,Я корову вожу на пастбище.,Дул кьвял кьари бичид.
XV000523,dar,Dam Patʼimat ričːaqi.,,,I love Patimat.,,,a50d22792df209a56c0f3b6023f28339,SN000713,Я любил Патимат.,Дам ПатIимат риччахъи.
XV000524,dar,Barisara Aminatra callij ca bičːaqu,,,Boris and Aminat love each other.,,,fec836f166a9090e10be6cef13b6a857,SN000713,Борис и Аминат друг друга любят.,Барисра Аминатра цаллий ца биччахъу.
XV000525,dar,Arilla hitːi dam čaˁj derčːij bičːaqid.,,,After lunch I (usually) want to drink tea.,,,6ffd9b6f65f8c12bb1205ca0b00e4e95,SN000714,После обеда я (обычно) хочу пить чай.,Арилла гьитти дам чяй дерччий биччахъид.
XV000526,dar,Misa bikːa!,,,Give a kiss!,,,1eadfbda15f03d65fd96b155be8ac855,SN000715 ; SN003274,Поцелуй!,Миса бикка!
XV000527,dar,Dul bičːibda itij ʁaj.,,,I gave him my word. / I gave the word to him.,,,c27c86b2bc3a549b4e997d730b648632,SN000715,Я ему обещал. / Я ему дал слово.,Дул биччибда итий гъай.
XV000528,dar,Dam u rikːulde.,,,I love you.,,,53a3983a8649f7bdb511bd97cdfd83ff,SN000716,Я тебя люблю.,Дам у риккулде.
XV000529,dar,Dam ura wikːulda.,,,I love you too.,,,fd5f1c8f310530ee2f57feb147fb6c56,SN000716,Я тоже тебя люблю.,Дам ура виккулда.
XV000530,dar,Abikːan agri sabeʁib.,,,"What you did not want, became true.",,,3d336b81754e095353e87d626aef9735,SN000717,"То, чего ты не хотел, стало реальным.",Абиккан агри сабегъиб.
XV000531,dar,nišːalla qujab q’a bik’ul cab,,,A turnip grows in our garden.,,,77ef6ec7c8559ab274b2e44ab34f35f8,SN000718,В нашем огороде растет редька.,нишшалла хъуяб кьа бикIул цаб
XV000532,dar,Dul ʡaˁmilcːe kaʁar bihabačʼibda.,,,I put paper into the hole.,,,aa7bd40e74c0d555f956f422b9eea6fb,SN000719,Я в дырку бумагу сунул.,Дул гIямилцце кагъар бигьабачIибда.
XV000533,dar,Bihabakʼa!,,,Shove it in!,,,cffb545f89200042c1ab4bd8c2208e99,SN000719,Суни!,БигьабакIа!
XV000534,dar,Urqʼul ʡaˁmilcːer bimahabičʼit!,,,"Don't put the board inside through the window (don't poke it in through the window, but e.g. through the door).",,,f97cd254c95fccf48a509ca91ed30729,SN000720,Доску из окна не засовывай!,Уркьул гIямилццер бимагьабичIит!
XV000535,dar,Itil har zamana tʼup qːuˁnqle bihabikʼu.,,,She always puts the finger into the nose.,,,9b6905219e8691756fc1f19250bdbbe6,SN000720,Она всегда суёт палец в нос.,Итил гьар замана тIуп къёнхъле бигьабикIу.
XV000536,dar,U iticːe wihajqandew? Guwʔerxʷandew?,,,Will you deal with him? Won't you lose?,,,e7bca369b9aa5e10c853fd94f37e3954,SN000723,Ты с ним справишься? (Преодолеешь?) Не проиграешь?,У итицце вигьайхъандев? Гувэрхвандев?
XV000537,dar,It wihajqij ajχub.,,,He couldn't manage him.,,,8152a4ec7c0551bd096a27b329a48201,SN000723,Он не смог с ним справиться.,Ит вигьайхъий айхуб.
XV000538,dar,"dul uf barqʼible, cʼa bihakun",,,I blew and the fire flared up.,,,4f6d6f8b91341956f2e58e16ea278dc5,SN000724,я подул и огонь загорелся,"дул уф баркьибле, цIа бигьакун"
XV000539,dar,"Hurcle waxaχːan, cːacːi bihalt´u.",,,"If you go bare foot, you get thorns (in your feet.)",,,575ee5266f4323308591dec021590660,SN000725,"Если босиком ходишь, колючка воткнется.","Хьурцле вахьаххан, ццацци бигьалтIу."
XV000540,dar,Muχtarra χːʷe biahaːqib.,,,Mukhtar’s dog did not keep up (e.g. lost the fight with another dog).,,,0dcde1b64d958b15dc31470c144e398c,SN000726 ; SN005478,Собака Мухтаре не справился.,Мухтарра ххве биагьаахъиб.
XV000541,dar,Wihaˁqʼunda.,,,I am going inside.,,,f6f9164cdc67c0e26973e6f4c2505dec,SN000727,Я захожу.,Вигьякьунда.
XV000542,dar,Dam cːacːi bihaːtʼun.,,,A thorn got stuck in me.,,,fdf00fe00e3f6d845c3137e59650cf72,SN000728,В мне заноза (колючка) зашла.,Дам ццацци бигьаатIун.
XV000543,dar,Dig ʡaˁšakle biherxʷij uže u!,,,Keep throwing the meat into the pot!,,,594f60c3cebeb473aeac70131af74672,SN000729,Мясо в кастрюлю закидывать оставайся!,Диг гIяшакле бигьерхьвий уже у!
XV000544,dar,Mašinːa ʡuˁlacːe urcul biherχur.,,,A stick (lit. wood) got into the wheel of the car.,,,111dc6d5700b1ad28de7358e98885c69,SN000729,В колесо машины палка воткнулась.,Машинна гIёлацце урцул бигьерхур.
XV000545,dar,Itːaj biħij bikːulde.,,,They wanted to fight.,,,fced7e69de15dd03f96799fabd5fa1a6,SN000730,Они хотели драться.,Иттай бихIий биккулде.
XV000546,dar,Dul naˁq bikabačʼibda kisna.,,,I put the hand into the pocket.,,,f6ffc99e9ad40cb625e5265670d97db0,SN000731,Я руку просунул в карман.,Дул няхъ бикабачIибда кисна.
XV000547,dar,Dam bikːulda naˁq bikabačʼij hinnicːe.,,,I want to put my hand into the water.,,,668188da71cf0ed0453b88b0f96dd2c7,SN000731,Я хочу руку засунуть в воду.,Дам биккулда няхъ бикабачIий гьинницце.
XV000548,dar,"Dul kiniga sumkʼale bikabišːibda.вставить, вкладывать",,,I put the book into the bag.,,,aec4c513c426eb952214275e86d820cf,SN000740,Я книгу поставил в сумку.,Дул кинига сумкIале бикабишшибда.
XV000549,dar,χːʷe mašinne bikabižij bikːulde.,,,The dog wanted to get into the car.,,,da0be0568150d362dda138117b9bd06c,SN000741,Собака хотел сесть в машину.,Ххве машинне бикабижий биккулде.
XV000550,dar,Daˁrχːaˁlla baˁtʼ-baˁtʼe durqaˁ dikaʁibda.,,,In the evening we put the ducks into the stable.,,,e1434721cbf93cbf5190aa2a82d865c7,SN000745 ; SN001661,Вечером мы загнали уток в сарай.,Дярххялла бятI-бятIе дурхъя дикагъибда.
XV000551,dar,Itil qal ikːaqul cab.,,,He burning the house.,,,25a0400e88a81c125dc206e788b835e8,SN000745,,Итил хъал иккахъул цаб.
XV000552,dar,Itil qal bikːaqub cab.,,,He burnt the house.,,,c63416609cc4664f414d2fb291744488,SN000745,Он сжег дом.,Итил хъал биккахъуб цаб.
XV000553,dar,bikralla it nišːišːu asareʁib,,,She didn't come to us on purpose.,,,,SN000748,Специально она к нам не пришла,бикралла ит нишшишшу асарегъиб
XV000554,dar,Itil qal ikːaqul cab.,,,He burns down the house.,,,8caefed0841f7c76974cb8729cb311c9,SN000752,Он сжигает дом.,Итил хъал иккахъул цаб.
XV000555,dar,Majkːʷaqit!,,,Don't burn it!,,,036f0617227f15ed6c5cf29798ac4656,SN000752,Не сжигай!,Майкквахъит!
XV000556,dar,Dila abal qːamušːe dikːub.,,,My mother burnt the reed.,,,bb516cb8f41ae5717b6bd101a99388ef,SN000753,Моя мать сожгла камыши.,Дила абал къамушше диккуб.
XV000557,dar,Majkːʷit!,,,Don't burn (it)!,,,dc9cb7645f968dd232cd680c976bb7e5,SN000753,Не сжигай!,Майкквит!
XV000558,dar,Derʁub urcul ʡaˁħle ikːul cad.,,,Dry wood burns well.,,,4dbf96665253954452152ed3e4c2ec17,SN000753,Сухая дрова хорошо горит.,Дергъуб урцул гIяхIле иккул цад.
XV000559,dar,Qʼwaˁl maˁ bikʼul cab.,,,The cow mows.,,,f3442fd2990bce98df05f070dc0475f0,SN000754,Корова му говорит (мычит).,Кьвял мя бикIул цаб.
XV000560,dar,Rursːi χːʷalle ʁaj rikʼul car.,,,The girl talks a lot.,,,4a800ddc0848f976996868283e75c5f9,SN000754,Девушка много разоваривает.,Рурсси ххвалле гъай рикIул цар
XV000561,dar,"Ala rucːi rikʼul car, čːaˁʡaˁl šaharre daxanda.",,,Your sister says that we will go to the city tomorrow.,,,65db5e65e106404d5bc68e134578ebe9,SN000754,"Твоя сестра говорит, что завтра поедем в город.","Ала руцци рикIул цар, ччягIял шагьарре дахьанда."
XV000562,dar,"Tʼaš icːe, dul cʼa bilšaqanda!",,,"Wait, I will extinguish the fire!",,,177338136f80aa98f924f6eecb9b11db,SN000757,"Подажди, я огонь потушу!","тIаш ицце, дул цIа билшахъанда!"
XV000563,dar,Cʼa pičlicːeb bilšu.,,,The fire in the oven went out.,,,c7f39b0dbaee18a64d029aeb3eaee562,SN000758,Огонь в печи потухнет.,цIа пичлиццеб билшу.
XV000564,dar,Dul tʼalim bilχunneda.,,,I tied the rope.,,,18e7af57611b164406d425fa3b1a1082,SN000759,Я верёвку привязывать.,Дул тIалим билхуннеда.
XV000565,dar,At χajri abirχu wilʡij.,,,You shall not steal.,,,e94f1d7e1bb4e0619d2058d3a3a8be20,SN000760,Тебе нельзя воровать.,Ат хайри абирху вилгIий.
XV000566,dar,Bilʡuˁtʼul dila tːapri diʡuˁn.,,,The thief stole my shoes.,,,a2df1720c666945dbdd896956ebb2069,SN000761,Вор украл мои туфли.,БилгIётIли дила ттапри дигIён.
XV000567,dar,Bači dimʡaˁn duχrala cab.,,,The beads are (made) from little pearls.,,,f9ffcb299a9cb2975f7fa8d9174735d4,SN000763,Цепочка из мелких бус.,Бачи димгIян духрала цаб.
XV000568,dar,"bimʡaˁnce arc, dimʡaˁnte arc",,,"(loose, small) change (money)",,,cf8e8cd8ec9b7f3d0f62489a882ab15e,SN000763,мелочь (деньги),бимгIянце арц
XV000569,dar,Dul sumkʼa biqːulda.,,,I carry a bag.,,,7458bb6ca35e4f95f977fcfb8169c0c6,SN000764,Я несу сумку.,Дул сумкIа бикъулда.
XV000570,dar,Itij arc diqːa!,,,Bring him the money!,,,3bde4577e56fa063a03354d680805b63,SN000764,Отдай ему деньги!,Итий арц дикъа!
XV000571,dar,Milicʼal biqʼri umcʼunnede.,,,The police searched for the witness.,,,5ec9198990bb7b1aab599f9772e35daa,SN000765,Милиция искала свидетеля.,МилицIал бикьри умцIуннеде.
XV000572,dar,Hinci nalla abiqʼur.,,,The apple isn't ripe yet.,,,f750bf0e9730a5bc0882469164e80093,SN000766,Яблоко пока не поспело.,Гьинци налла абикьур.
XV000573,dar,durħuˁl rursːij qːampitʼe dirdičːib.,,,The boy shared candy with the girl.,,,,SN000768,Мальчик с девочкой поделился конфетами,ДурхIёл рурссий къампитIе дирдиччиб
XV000574,dar,Čːaˁʡaˁl itil cinna mašin bircu.,,,Tomorrow he will sell his car.,,,dc965b016b4bee4de32758d34be2020c,SN000769,Завтра он свою машину продаст.,ЧчягIял итил цинна машин бирцу.
XV000575,dar,Aminatli bah hana tʼalaħne dircib.,,,Aminat just washed the dishes.,,,d55dbcffe48f6e3ffb612430d9bce577,SN000770,Аминат только что помыла посуду.,Аминатли багь гьана тIалахIне дирциб.
XV000576,dar,Batʼičaj qʼʷaˁj bircːij agur.,,,Batichay went to milk the cow.,,,a7eea6eb41d8ceab371ddb54f79b5bec,SN000771,Батичай корову подоит пошла.,БатIичай кьвял бирцций агур.
XV000577,dar,Qutqa bircʼul cab.,,,The jar is filling.,,,e79a85f0cd4cff4509d3af13ca8c326b,SN000772,Кувшин наполняется.,Хъутхъа бирцIул цаб.
XV000578,dar,Itil qutqa bircʼul car.,,,She fills the jar.,,,bc45098d9b0d58c20a72e3810435a60d,SN000772,Она кувшин наполняет.,Итил хъутхъа бирцIул цар.
XV000579,dar,Dam har zamana xulla birči.,,,I always got As.,,,a43fa0da2518c94cd8abd8805bf6b3f4,SN000773,Я всегда пятёрку получал.,Дам гьар замана хьулла бирчи.
XV000580,dar,It čːaˁʡaˁl markalgu irku.,,,He will get into rain tomorrow.,,,a1fdf761c105a7b5003b4fef527132b8,SN000773,Он завтра дождь попадёт.,Ит ччягIял маркалгу ирку.
XV000581,dar,dam iticːer ulligu birkul kelgun,,,He almost hit me on the eye. (lit. It remained (= little was missing) that from him hitting me on the eye),,,25b2e194fcf3e12024cfeb7d236dbb44,SN000773,Я от него чуть под глаз не получил.,Дам итиццер уллигу биркул келгун.
XV000582,dar,hinne bikabičib sːaˁʡaˁt birhaqːibda dul,,,I pulled out a watch that fell into the water.,,,,SN000774,"Я вытащил часы, которые упали в воду.",гьинне бикабичиб ссягIят биргьакъибда дул
XV000583,dar,Mawirħuˁt!,,,Don't fight!,,,3751b761620a1163cb443ab9fa922cd3,SN000775,Не дерись!,МавирхIёт!
XV000584,dar,Itːi har zamana birħi.,,,They are fighting all the time.,,,f7106a2915cae1042031c29d59afa16f,SN000775,Они всегда дрались.,Итти гьар замана бирхIи.
XV000585,dar,Ižal birinžla kaš bukanda.,,,Today we will eat rice.,,,d86419255b814a1072f9e0d7ef6c1450,SN000778,Сегодня покушаем рисовую кашу.,Ижал биринжла каш буканда.
XV000586,dar,Biriχːaˁ kːač bičib musːab puˁšːuˁk bikʼu.,,,"Where the cow-parsnip touches (the skin), an abscess grows.",,,124c58cec81f4f2e6dc445ba253898eb,SN000779,На месте где борщевик притронутся вырастает волдырь.,Бириххя ккач бичиб муссаб пёшшёк бикIу.
XV000587,dar,Biriz aq kːalkːi birχu.,,,The poplar is a high tree.,,,6b4aa5bb8986d196d07cadd43d915422,SN000781,Тополь высокое дерево.,Бириз ахъ ккалкки бирху.
XV000588,dar,Dul urucl dirqibda.,,,I chopped wood.,,,4336d322a01db1b34745313d8bc73900,SN000784,Я колол дрова.,Дул урцул дирхъибда.
XV000589,dar,Barχur musːa birqub cab.,,,What has been sewed got unstitched.,,,57b9a98df2696ab1965d18874e5168b8,SN000785,Шов (сшитое место) распоролся.,Бархур мусса бирхъуб цаб.
XV000590,dar,ʡaˁjar birqʼan,,,dancer,,,600d769c7e2c050e5b831f1ea90c3887,SN000786 ; SN005654,танцор,гIяяр биркьан
XV000591,dar,birqʼan akːʷar,,,"without tasks, without anything to do",,,e8e10389a38e38d78bacd3a26e66e271,SN000786,бездельник; лентяй,биркьан акквар
XV000592,dar,Itil arc daˁʡaˁna dirqʼul.,,,He hides the money.,,,61e67374b813794a5a3c1084c99d9238,SN000786,Он деньги прячет.,Итил арц дягIяна диркьул.
XV000593,dar,Dam abaj kumek birqʼij bičːaqid.,,,I love to help mother.,,,641c65bd494a11134d50df86a6be7598,SN000786,Я люблю маме помагать.,Дам абай кумек биркьий биччахъид.
XV000594,dar,Dam qulbe dirqʼij bičːaqid.,,,I love to build houses.,,,e6c78bb2c395424f6e0cb98f38201dcd,SN000786,Я люблю строить дома.,Дам хъулбе диркьий биччахъид.
XV000595,dar,Dam ca kila birʁijra χajri birχu.,,,For me one kilo is probably enough.,,,3a296a7a6cd58807f51817bce2893727,SN000787,"Мне и один кило, может, хватит.",Дам ца кила биргъийра хайри бирху.
XV000596,dar,Ašːala arc dirʁaruw?,,,Is the money that you have enough for you?,,,48e188ff4e3f6ec11f39c402fb0beea4,SN000787,Ваши деньги хватит?,Ашшала арц диргъарув?
XV000597,dar,Dam ca tilipun abirʁar.,,,One phone is not enough for me.,,,781c5563179ffa6b2e6b43be69ced811,SN000787,Мне один телефон не хватит.,Дам ца тилипун абиргъар.
XV000598,dar,It uqna wirʁul caw.,,,He is getting old.,,,6cf4b6173aae6ec0ae21293e90adc9de,SN000788,Он стареет.,Ит ухъна виргъул цав.
XV000599,dar,Ižal dul daˁ dirsːibda.,,,Today I already shaved my face.,,,a81ef92b15df297b751543c3c8a1d954,SN000789,Я сегодня уже побрился.,ижал дул дяъ дирссибда.
XV000600,dar,Ižal itil ačʼi diršːib.,,,Today he mowed wheat.,,,89a2c4acf741a4549115b1b56010d729,SN000790,Он сегодня пшеницу скосил.,Ижал итил ачIи диршшиб.
XV000601,dar,čːaˁʡaˁl itil ačʼi iršːanne.,,,He's gonna mow wheat tomorrow.,,,d6409caccf71429a45a3e195821751b9,SN000790,Он завтра пшеницу будет косить,Итил ччягIял ачIи иршшанне.
XV000602,dar,Amir dušːmantacːe wiršːanne,,,Amir will defect to the enemies' side.,,,,SN000791,Амир перейдёт на сторону врага.,Амир душшмантацце виршшанне
XV000603,dar,Islamli har zamana qːarqne diirxu ʡaˁmicːe.,,,Islam always throws stones into the window.,,,12a564cc358f048671f700408fa8d395,SN000792,Ислам всегда закидывает камни в окно.,Исламли гьар замана къархъне диирхьу гIямицце.
XV000604,dar,It qːuʁa rirχul car.,,,She is getting beautiful.,,,285af74207573d908976ec82e5f2a71b,SN000793,Она становится красивая.,Ит къугъа рирхул цар.
XV000605,dar,Duburtacːeb buχːare birχu.,,,It's cold in the mountains.,,,503ba6a8ac1a33d0b1969212dc649b89,SN000794 ; SN001807,В горах холодно бывает.,Дубуртаццеб буххарре бирху.
XV000606,dar,Duburtacːeb buχːare birχʷi.,,,It was cold in the mountains.,,,7f3eb7f930e0e16774da120f317491ae,SN000794,В горах был холодно.,Дубуртаццеб буххарре бирхви.
XV000607,dar,Wecʼal dusla hitːi it wirχane ajarqʼa.,,,After 10 years he will be a hunter.,,,9bba9abd1a8c8c1bc3e269fdc1bdd4ee,SN000794 ; SN002293,Через 10 лет он будет охотник.,ВецIал дусла гьитти ит вирханне аяркья.
XV000608,dar,Du arirχud χalqʼlij wahice ažij.,,,I cannot be mean to (other) people.,,,ea13329ab89db1083fee4b4e531da6c3,SN000795,Я не могу быть плохим (злым) людям.,Ду арирхуд халкьлий вагьице ажий
